Timestamp,Temperature (C),Pressure (hPa),Humidity (%),Latitude,Longitude,Altitude (m)
2024-06-25 03:16:17,28.771328124999997,678.0457881060798,100,"(32.70725363989207, -123.85741108094135, 9402.120276396545)"
2024-06-25 03:16:18,25.32169921875,988.1636593796215,35.11467463209788,"(-19.19101855110064, -76.64904921123264, 6331.570173153933)"
2024-06-25 03:16:19,25.302851562500003,988.1866582109421,34.99476323950502,"(20.55606621609344, 112.99744682694649, 434.15838078524115)"
2024-06-25 03:16:20,25.29201171875,988.2029613553324,34.85995399148507,"(10.706783461564314, -44.3683225236245, 7250.042863992716)"
2024-06-25 03:16:21,25.292421875,988.2103670033476,34.748580243908975,"(-16.300625370486586, 32.91155015328138, 4852.835282418981)"
2024-06-25 03:16:22,25.28693359375,988.2172800968348,34.6105051909464,"(-37.06442117110478, -31.428957704792992, 911.8072776375452)"
2024-06-25 03:16:23,25.288984375,988.2339687391255,34.4840727437577,"(-16.341878326306627, 114.36978804073334, 7948.933958573596)"
2024-06-25 03:16:24,25.29279296875,988.2291569811567,34.396642571829666,"(-86.43425299712236, 166.00696752207966, 7256.717436109981)"
2024-06-25 03:16:25,25.2977734375,988.2365425643106,34.29847568900695,"(63.067936986509466, 29.006915338118404, 4530.39740994052)"
2024-06-25 03:16:26,25.298046874999997,988.2346991764313,34.21143019869891,"(86.4772190950604, 79.81229746470189, 5333.793677302081)"
2024-06-25 03:16:27,25.31361328125,988.2320941688429,34.1299876272778,"(-76.9815459431986, 69.72114769291974, 100.65299479864898)"
2024-06-25 03:16:28,25.30859375,988.2327043560367,34.064964400968094,"(63.427119494451944, -1.6131343232135578, 2609.054365163803)"
2024-06-25 03:16:30,25.31818359375,988.2252963062366,34.01088253689904,"(-20.729018018763725, -136.90836774552469, 6757.483495217339)"
2024-06-25 03:16:31,25.32728515625,988.229882762453,33.94024460644317,"(-4.912466123246233, -69.2721836517858, 5679.530173247779)"
